Новый ID,Исходный ID (id из фида)
298513320,466709
298513358,466713
298513369,466717
298513648,466738
298513703,466741
298513728,466742
298836772,466788
298836965,466803
298837138,466817
298838067,466862
299073643,466918
299073979,466928
299074014,466929
299074045,466930
299074081,466931
299074139,466933
299074169,466934
299074207,466936
299074247,466939
299074415,466945
299074525,466949
299074703,466955
299074723,466956
299074759,466959
299074778,466961
299074788,466962
299074870,466964
299074951,466966
299075195,466971
299075321,466978
299310696,466974
299310707,466975
299310873,466983
299311131,467005
299311232,467011
299311336,467016
299311451,467019
299315880,467053
299550042,466114
299550599,466806
299553423,467083
299553453,467088
299554023,467129
299694624,467134
299694930,467142
299695051,467147
299695087,467148
299695214,467150
299695256,467151
299695368,467154
299695579,467159
299695783,467163
299696347,467182
299696417,467184
299697729,467223
299698344,467236
299699180,467256
300014181,466509
300014195,466651
300014229,467171
300014336,467296
300014389,467323
300014391,467325
300014405,467336
300014531,467368
300014542,467373
300108644,467386
300109132,467392
300110333,467409
300110539,467413
300110617,467417
300110878,467433
300110891,467434
300111227,467447
300111244,467449
300111318,467460
300111493,467473
300267474,467598
300267520,467602
300267724,467610
300269511,467652
300269549,467653
300495570,466746
300495841,466759
300496211,466785
300496930,466864
300497399,466993
300498702,467333
300499989,467564
300501051,467644
300502648,467704
300503013,467710
300503205,467713
300503343,467715
300503474,467717
300505724,467746
300508053,467779
300509488,467791
300513034,467814
300513216,467815
300688934,467826
300689223,467844
300689336,467857
300689349,467858
300690679,467935
300690943,467939
300691617,467968
300691696,467973
300960589,466714
300960634,466857
300961086,467910
300961232,467974
301215448,467978
301215595,467980
301215962,467987
301216121,467990
301217487,468009
301217624,468012
301221131,468041
301221175,468043
301221201,468044
301221233,468046
301221242,468047
301221272,468048
301221351,468051
301221360,468052
301221724,468059
301222921,468069
301223325,468071
301224497,468078
301371531,468197
301582955,468241
301583412,468261
301583910,468273
301584227,468275
301588628,468330
301588692,468331
301590145,468368
301590517,468375
301898365,468404
301898897,468410
301899143,468416
301899198,468417
301899397,468420
301899470,468422
301899558,468424
301900230,468456
302501844,468233
302502347,468282
302503187,468592
302782606,468699
302783154,468734
302783421,468753
303305462,467334
303305552,467454
303305604,467459
303305878,468107
303305994,468116
303307983,468523
303308222,468549
303308806,468566
303309915,468655
303310601,468681
303312217,468759
303312921,468833
303313040,468843
303313774,468965
303313808,468966
303314248,469086
303599205,455359
303637146,468102
303638094,468117
303638676,468131
303639041,468135
303658759,468487
303659476,468508
303659579,468515
303659793,468524
303662127,468614
303662345,468626
303662362,468627
303662379,468628
303662394,468629
303662409,468630
303674441,468817
303674993,468842
303675331,468864
303675448,468886
303675634,468908
303675845,468939
303675918,468942
303677100,468985
303677357,468994
303677584,469008
303677769,469016
303678335,469033
303678545,469040
303678796,469055
303678828,469056
303679369,469069
303679410,469070
303679464,469071
303679494,469072
303679832,469080
303680560,469100
303979785,469112
303979826,469113
304209819,468522
304209877,469118
304210020,469221
304210180,469237
304210235,469241
304438592,464997
304440562,467431
304621688,458803
304621691,458826
304622171,469353
304725091,468397
304725718,468912
304725853,468924
304726446,469109
304726471,469110
304726750,469135
304726831,469139
304726930,469146
304727794,469260
304727820,469266
304728027,469298
304728290,469350
304728463,469372
304728505,469373
304728583,469374
304728616,469375
304728658,469376
305215041,469467
305215744,469484
305218620,469495
305756860,454467
305757030,454771
305757222,455555
305757908,456780
305758073,457063
305758157,457123
305764625,469127
305766280,469213
305766390,469215
305766458,469216
305766518,469217
305767754,469435
305768222,469468
305768981,469531
305771142,469599
305779540,469686
305780339,469773
305932951,469697
305933261,469776
305933426,469790
305933602,469794
306080477,469550
306080626,469576
306080784,469717
306139759,356196
306154592,469831
306155291,469870
306155771,469876
306155912,469888
306319123,469908
306320688,469941
306320800,469942
306320990,469944
306481042,469032
306481474,469510
306481503,469513
306482309,469555
306482846,469692
306483381,469950
306483491,469955
306483563,469965
306484615,469988
306675299,469836
306675463,469867
306675750,469963
306676565,470113
306677414,470172
306677484,470182
306677798,470214
306677892,470222
306677989,470224
306980699,470271
306980939,470277
306981174,470282
306981579,470291
306982642,470313
306983285,470325
306988514,470349
307547482,470379
307548358,470413
307548629,470423
307548691,470426
307745973,468887
307746122,468901
307747448,469967
307901838,470080
307902411,470121
307902601,470127
307903058,470350
307903092,470353
307903356,470363
308117571,470727
308117610,470728
308276328,470715
308276393,470719
